District,Latitude,Longitude,Location,Block,Capacity(In kWp),Category,Financial Year
Bokaro,23.758198,85.930047,"Community Health Centre, Bermo, Bokaro",Bermo,20,Hospital, FY 15-16
Bokaro,23.7736894,85.91232525,"Dhori Mata Church, Bermo, Bokaro",Bermo,5,Miscellaneous, FY 15-16
Bokaro,23.66316699,86.01474665,"Referral Hospital, Jainamore, Bokaro",Bokaro,10,Hospital, FY 15-16
Bokaro,23.64099316,86.15972487,"Sadar Hospital,Bokaro",Bokaro,125,Hospital, FY 15-16
Chatra,24.07757751,84.74565347,"Residencial High School, Lawalong, Simariya",Simariya,10,Educational Institution, FY 15-16
Chatra,24.2961076,84.63716322,"Residencial Primary School, Pratapur",Pratapur,10,Educational Institution, FY 15-16
Chatra,24.21292386,84.86116324,"Mandal Jail,Chatra",Chatra,15,Govt. Buildings, FY 15-16
Deoghar,24.49102496,86.6939185,Sadar Hospital,Deoghar,60,Hospital, FY 15-16
Dhanbad,23.79667309,86.4349162,Collectorate building,Dhanbad,80,Govt. Buildings, FY 15-16
Dhanbad,23.8099597,86.46346128,PMCH,Dhanbad,200,Govt. Buildings, FY 15-16
Dumka,24.23303832,87.3364959,"Eklabya Model Residential  School, Kathijoria",Shikaripara,10,Educational Institution, FY 15-16
Dumka,24.26650106,87.25227339,"Central Jail, Dumka",Dumka,25,Govt. Buildings, FY 15-16
Dumka,24.26166663,87.24996856,Dumka Commissionery,Dumka,25,Govt. Buildings, FY 15-16
Dumka,24.35057415,87.14624805,"Primary Health Centre, Jama",Jama,5,Hospital, FY 15-16
Dumka,24.2727458,87.23798502,"Residential Boys High School, Gopikander, Dumka",Gopikander,10,Educational Institution, FY 15-16
Dumka,24.23068827,87.33390627,"Residential Girls High School, Lakhikund Kadaharbil",Dumka ,10,Educational Institution, FY 15-16
Dumka,24.26774674,87.25173407,"Sadar Hospital, Dumka",Dumka,60,Hospital, FY 15-16
Dumka,24.20356603,87.36732107,"Residential 10+2 School,Indarbani",Shikaripara,10,Educational Institution, FY 15-16
PashchimiSinghbhum,22.84513081,86.23243569,"MGM Medical College, Jamshedpur",Jamshedpur ,250,Educational Institution, FY 15-16
PashchimiSinghbhum,22.56409703,86.32832271,"Residencial Boys High School, Sabar Nagar",Potka ,10,Educational Institution, FY 15-16
PashchimiSinghbhum,22.7589348,86.20139453,Sadar Hospital,Jamshedpur ,80,Hospital, FY 15-16
PashchimiSinghbhum,22.56951786,86.49609934,Sub Jail Ghatshila,Ghatshila,15,Govt. Buildings, FY 15-16
Garhwa,24.16171861,83.790157,"Collectorate Building, Garhwa",Garhwa,60,Govt. Buildings, FY 15-16
Garhwa,24.15860108,83.78875767,"District Court, Garhwa",Garhwa,110,Govt. Buildings, FY 15-16
Garhwa,23.88636354,83.7722618,"Residencial Boys High School, Kudrum, Ranka",Ranka,10,Educational Institution, FY 15-16
Garhwa,23.85904634,83.8746848,"Residencial High School, Ramkanda",Ramkanda,10,Educational Institution, FY 15-16
Garhwa,24.15917246,83.78978588,"Mandal Jail,Garhwa",Garhwa,20,Govt. Buildings, FY 15-16
Garhwa,24.1585627,83.80179408,"Sadar Hospital,Garhwa",Garhwa,60,Hospital, FY 15-16
Giridih,24.32660916,83.43070584,"Residential high school,Jamua",Jamua,10,Educational Institution, FY 15-16
Giridih,24.49476634,83.84090439,"Residential high school,Khargdiha",Jamua,10,Educational Institution, FY 15-16
Giridih,24.04272097,86.16003782,"Residential high school,Pirtand",Pirtand ,10,Educational Institution, FY 15-16
Godda,24.24053414,86.54332801,"Residential boys high school,Dhamni,Godda ",Sunderpahari,10,Educational Institution, FY 15-16
Godda,24.82434334,87.21529506,"Sadar Hospital,Godda",Godda,60,Hospital, FY 15-16
Gumla,23.03485246,84.53815818,Sadar Hospital Gumla,Gumla ,60,Hospital, FY 15-16
Hazaribag,23.99736176,85.36588834,Hazaribag Commissionery,,10,Govt. Buildings, FY 15-16
Hazaribag,23.99753481,85.35633922,Sadar Hospital Hazaribag,,150,Hospital, FY 15-16
Hazaribag,24.0189355,85.35937776,"Central Jail,Hazaribag",,35,Govt. Buildings, FY 15-16
Jamtara,23.96896887,86.82320685,"Ashram School, Jamtara",,5,Educational Institution, FY 15-16
Jamtara,23.96161429,86.79673926,Mandal Jail Jamtara,,20,Govt. Buildings, FY 15-16
Jamtara,23.9696709,86.82330985,"Ashram Girls School,Jamtara",,10,Educational Institution, FY 15-16
Jamtara,23.9557324,86.77800489,"Residential high school,Dulladih,Jamtara",,10,Educational Institution, FY 15-16
Jamtara,23.98209386,86.82365829,"Sadar Hospital,Jamtara",,60,Hospital, FY 15-16
Khunti,23.05673328,85.28695359,"Civil Court, Khunti",,180,Govt. Buildings, FY 15-16
Khunti,23.05997514,85.28797092,Sub  Jail Khunti,,15,Govt. Buildings, FY 15-16
Kodarma,24.48356759,85.59669399,"Sadar Hospital ,Kodarma",,80,Hospital, FY 15-16
Latehar,23.66518771,84.23524188,"Residencial Boys High School, Garu, Latehar",,10,Educational Institution, FY 15-16
Latehar,23.7425484,84.50868476,"Mandal jail,Latehar",,15,Govt. Buildings, FY 15-16
Latehar,23.74346104,84.50826263,"Sadar Hospital,Latehar",,60,Hospital, FY 15-16
Lohardaga,23.51898031,84.66738863,"Residential High school,Kisko,Lohardaga",,10,Educational Institution, FY 15-16
Pakur,24.63646661,87.81007394,"DC Office, Pakur",,20,Govt. Buildings, FY 15-16
Pakur,24.63754897,87.83683203,"Sadar Hospital, Pakur",,60,Hospital, FY 15-16
Pakur,24.72002124,87.71029868,"Residential high school,Hiranpur,Pakur",,10,Educational Institution, FY 15-16
Palamu,23.67477453,84.23658515,"Forest Rest House Maromar, Palamu",,5,Govt. Buildings, FY 15-16
Palamu,24.50915586,84.25155073,"Residencial High School, Kawakhoh, Palamu",,10,Educational Institution, FY 15-16
Palamu,24.04496465,84.06007421,"Sadar Hospital, Daltenganj",,80,Hospital, FY 15-16
Palamu,24.04487056,84.06596173,"Central jail,Medininagar,Palamu",,35,Govt. Buildings, FY 15-16
Ramgarh,23.59690791,85.53493095,Sadar Hospital Ramgarh,,100,Hospital, FY 15-16
Ramgarh,23.61158538,85.52334519,"DC office, Ramgarh",,70,Govt. Buildings, FY 15-16
Ramgarh,23.59920128,85.57410803,"Sub Jail,Ramgarh",,20,Govt. Buildings, FY 15-16
Ranchi,23.38383392,85.31803288,"ATI Building, Ranchi",,100,Govt. Buildings, FY 15-16
Ranchi,23.37319094,85.39114584,Birsa Munda Central Jail Hotwar,,35,Govt. Buildings, FY 15-16
Ranchi,23.34346318,85.33351277,"JAP-1, Doranda, Ranchi",,5,Hospital, FY 15-16
Ranchi,23.37429084,85.39327116,JAP-10,,60,Hospital, FY 15-16
Ranchi,23.33772245,85.33392393,"JREDA Office, Ranchi",,15,Govt. Buildings, FY 15-16
Ranchi,23.29689461,85.30016218,"Police Headquarters, Ranchi",,70,Police Station, FY 15-16
Ranchi,23.2956654,85.29278813,"Project Buildings, Ranchi",,135,Govt. Buildings, FY 15-16
Ranchi,23.37840202,85.32357271,"Ranchi Collectorate, Ranchi",,100,Govt. Buildings, FY 15-16
Ranchi,23.3778044,85.3252143,"Ranchi Commissionery , Ranchi",,5,Govt. Buildings, FY 15-16
Ranchi,23.39123457,85.34874,"RIMS, Ranchi ",,400,Hospital, FY 15-16
Ranchi,23.38721549,85.32417816,"State Guest House, Ranchi",,60,Govt. Buildings, FY 15-16
Ranchi,23.32464194,85.27092417,"Vidhan Sabha, Ranchi ",,50,Govt. Buildings, FY 15-16
Ranchi,23.34127322,85.33103785,"Yojna Bhawan & Nepal House , Ranchi",,200,Govt. Buildings, FY 15-16
Ranchi,23.43408429,85.31334944,"RINPASS,Ranchi",,150,Hospital, FY 15-16
Sahibganj,25.22785784,87.64631291,"District Court, Sahebganj",,90,Govt. Buildings, FY 15-16
Sahibganj,25.23605709,87.63417544,"Sadar Hospital, Sahebganj",,70,Hospital, FY 15-16
Sahibganj,25.24039714,87.64589123,"Residential boys high school,Banjhi,Sahebganj",,10,Educational Institution, FY 15-16
SaraikelaKharsawan,22.8491563,85.73166103,Ahram School Kuchai,,10,Educational Institution, FY 15-16
SaraikelaKharsawan,22.7116144,85.93951805,"Residencial Boys High School, Sanjay Saraikela",,10,Educational Institution, FY 15-16
Simdega,22.6127122,84.49872596,"DC Office, Simdega",,60,Govt. Buildings, FY 15-16
Simdega,22.61140425,84.50048708,"District Court, Simdega",,100,Govt. Buildings, FY 15-16
Simdega,22.61366599,84.49206076,Mandal Jail Simdega,,15,Govt. Buildings, FY 15-16
purbaSinghbhum,22.55363284,85.80827826,Mandal Jail Chaibasa,,20,Govt. Buildings, FY 15-16
purbaSinghbhum,22.77645758,85.35928851,"Residencial Boys High School, Kundrugutu, purba Singhbhum",,10,Educational Institution, FY 15-16
Bokaro,23.68099145,86.14969473,"Nyay Sadan,Civil Court,Bokaro",,40,Govt. Buildings,FY 16-17
Bokaro,23.62707175,86.17684767,"Range Forest Office, Chas Bokaro",,2,Govt. Buildings,FY 16-17
Bokaro,23.62317757,86.17917601,"Range Forest Office, Petarwar Bokaro",,2,Govt. Buildings,FY 16-17
Bokaro,23.77662719,85.93020727,"Range Forest Office, Bermo Bokaro",,2,Govt. Buildings,FY 16-17
Bokaro,23.57013356,86.37486723,KGBV CHANDANKIYARI,,20,Educational Institution,FY 16-17
Bokaro,23.61526959,86.18140842,KGBV CHAS,,20,Educational Institution,FY 16-17
Bokaro,23.75049425,85.83524935,KGBV GOMIA,,20,Educational Institution,FY 16-17
Bokaro,23.66224576,85.97923643,KGBV JARIDIH,,20,Educational Institution,FY 16-17
Bokaro,23.65208621,85.92858132,KGBV KASMAR,,20,Educational Institution,FY 16-17
Bokaro,23.85324771,86.04570197,KGBV NAWADIH,,20,Educational Institution,FY 16-17
Bokaro,23.73373529,85.85722632,KGBV PETARWAR,,20,Educational Institution,FY 16-17
Chatra,24.20740457,84.87211386,KGBV CHATRA,,20,Educational Institution,FY 16-17
Chatra,24.1854215,85.0247146,KGBV GIDHOR,,20,Educational Institution,FY 16-17
Chatra,24.43557849,84.81463953,KGBV HUNTERGANJ,,20,Educational Institution,FY 16-17
Chatra,24.32262419,85.17996883,KGBV ITKHORI,,20,Educational Institution,FY 16-17
Chatra,24.20879214,84.64726089,KGBV KUNDA,,20,Educational Institution,FY 16-17
Chatra,24.14943034,84.66109067,KGBV LAWALONG,,20,Educational Institution,FY 16-17
Chatra,24.12771218,85.06318842,KGBV PATTHALGADA,,20,Educational Institution,FY 16-17
Chatra,23.48712732,83.21006258,KGBV PRATAPPUR,,20,Educational Institution,FY 16-17
Chatra,24.05145155,84.93289142,KGAV SIMARIA,,20,Educational Institution,FY 16-17
Chatra,23.86086573,85.01120298,KGBV TANDWA,,20,Educational Institution,FY 16-17
Chatra,24.0603219,84.94575037,"Residential High School, Simariya",,10,Educational Institution,FY 16-17
Chatra,23.85784447,85.21939628,"Range Forest Office, Wildlife Range Chatra",,2,Govt. Buildings,FY 16-17
Chatra,24.05071284,84.93289735,"Residential Primary School, Simariya, Chatra",,10,Educational Institution,FY 16-17
Chatra,24.4363041,84.81112589,"Residential Primary School, Hunterganj, Chatra",,10,Educational Institution,FY 16-17
Chatra,24.20812258,84.65264377,"Range Forest Office, Kunda, Chatra",,2,Govt. Buildings,FY 16-17
Chatra,24.29394215,84.63681262,"Range Forest Office, Pratapur, Chatra",,2,Govt. Buildings,FY 16-17
Chatra,24.21031135,84.88399163,"Civil Courts, Chatra",,100,Govt. Buildings,FY 16-17
Chatra,23.82560362,84.80398238,"Residential Primary School, Balumath.",,10,Educational Institution,FY 16-17
Deoghar,24.48258258,86.67705623,"Range Forest Office, Soil Conservation Range Deoghar",,2,Govt. Buildings,FY 16-17
Deoghar,24.28934604,86.63946928,"Range Forest Office, Soil Conservation Range Madhupur",,2,Govt. Buildings,FY 16-17
Deoghar,24.41086824,86.96139581,KGBV DEOGHAR,,20,Educational Institution,FY 16-17
Deoghar,24.29416669,86.63831226,KGBV MADHUPUR,,20,Educational Institution,FY 16-17
Deoghar,24.56412352,86.81270625,KGBV  MOHANPUR,,20,Educational Institution,FY 16-17
Deoghar,24.24648875,87.0068966,KGBV PALOJORI,,20,Educational Institution,FY 16-17
Deoghar,24.23898637,86.85629784,KGBV SARATH,,20,Educational Institution,FY 16-17
Deoghar,24.39316033,86.7840642,KGBV  SARWAN,,20,Educational Institution,FY 16-17
Deoghar,24.29416282,86.88084503,"Residential Middle School, Bamandiha.",,10,Educational Institution,FY 16-17
Dhanbad,23.88116495,86.3520172,"Range Forest Office, Topchachi, Dhanbad",,2,Govt. Buildings,FY 16-17
Dhanbad,23.98905972,86.45314026,"Range Forest Office, Tundi, Dhanbad",,2,Govt. Buildings,FY 16-17
Dhanbad,23.83495875,86.42576883,KGBV Baliapur,,20,Educational Institution,FY 16-17
Dhanbad,23.81509129,86.55638047,KGBV Govindpur,,20,Educational Institution,FY 16-17
Dhanbad,23.68861776,86.40038922,KGBV Jharia,,20,Educational Institution,FY 16-17
Dhanbad,23.78949951,86.67782643,KGBV Nirsa,,20,Educational Institution,FY 16-17
Dhanbad,23.90069073,86.21080184,KGBV Topchanchi,,20,Educational Institution,FY 16-17
Dhanbad,23.99542285,86.45217924,KGBV Tundi,,20,Educational Institution,FY 16-17
Dumka,24.21092963,84.88416778,"Civil Courts, Chatra",,10,Govt. Buildings,FY 16-17
Dumka,24.228662,87.27271588,"Residential Middle School,Asansol,Aerodrum Road,Dumka",,10,Educational Institution,FY 16-17
Dumka,24.27704233,87.26410745,"Residential Middle School,Kairabuni,University Road ,Dumka",,10,Educational Institution,FY 16-17
Dumka,24.28207408,87.27595013,"Residential Middle School,Uper Murga Thali,Near Kairabani,Dumka",,10,Educational Institution,FY 16-17
Dumka,24.23948783,87.47618267,"Residential Middle School,shikaripara,Dumka",,10,Educational Institution,FY 16-17
Dumka,24.39328471,87.05408947,"Residential MiddleSchool,Mahra,Jharmundi Block,Dumka",,10,Educational Institution,FY 16-17
Dumka,24.15873231,87.18037455,"Residential Middle School,Masliya Block,Dumka",,10,Educational Institution,FY 16-17
Dumka,24.150743,87.43800284," School, Gumapahadi,Dumka",,10,Educational Institution,FY 16-17
Dumka,24.35003961,87.14828359,"Residential Middle School, Jama,Dumka",,10,Educational Institution,FY 16-17
Dumka,24.29647455,87.28133017,"Residential Middle School, Nakti,Dumka",,10,Educational Institution,FY 16-17
PashchimiSinghbhum,22.50530328,86.71242407,K G B V CHAKULIA,,20,Educational Institution,FY 16-17
PashchimiSinghbhum,22.46369825,86.58646549,K G B V DHALBHUMGARH,,20,Educational Institution,FY 16-17
PashchimiSinghbhum,22.47823881,86.38853631,K G B V DUMARIA,,20,Educational Institution,FY 16-17
PashchimiSinghbhum,22.65105327,86.39966236,K G B V GHATSHILA,,20,Educational Institution,FY 16-17
PashchimiSinghbhum,22.77064696,86.16143289,K G B V JAMSHEDPUR,,20,Educational Institution,FY 16-17
PashchimiSinghbhum,22.60591317,86.48915862,"Residential Boys High School, Uparpawada, Ghatshila.",,10,Educational Institution,FY 16-17
PashchimiSinghbhum,22.90503288,86.11515253,"Residential Boys Middle School, Chakuliya.",,10,Educational Institution,FY 16-17
PashchimiSinghbhum,22.47017186,86.72063249,"Range Forest Office, Chakulia",,2,Govt. Buildings,FY 16-17
PashchimiSinghbhum,22.66027492,86.37730872,"Range Forest Office, Rakhamines",,2,Govt. Buildings,FY 16-17
PashchimiSinghbhum,22.59875614,86.47255976,"Range Forest Office, Ghatshila",,2,Govt. Buildings,FY 16-17
PashchimiSinghbhum,22.52973704,86.45325509,"Range Forest Office, Musabani",,2,Govt. Buildings,FY 16-17
PashchimiSinghbhum,22.26968586,85.74170301,"Range Forest Office, Hatgamharia",,2,Govt. Buildings,FY 16-17
PashchimiSinghbhum,22.83159471,86.21374649,"Range Forest Office, Dalma Wild Life",,2,Govt. Buildings,FY 16-17
Garhwa,24.05967652,83.63160759,"Residential High School, Chiniya, Garhwa",,10,Educational Institution,FY 16-17
Garhwa,23.86362079,83.87522542,"Residential Middle School, Ramkanda, Garhwa",,10,Educational Institution,FY 16-17
Garhwa,23.6690273,85.64907676,"Range Forest Office, Nagar Garhwa",,2,Govt. Buildings,FY 16-17
Garhwa,24.39619913,83.57547575,"Range Forest Office, Bhawnathpur Garhwa",,2,Govt. Buildings,FY 16-17
Garhwa,23.73770663,83.81631273,KGBV BHANDRIYA,,20,Educational Institution,FY 16-17
Garhwa,24.392525,83.57173971,KGBV BHAWANATHPUR,,20,Educational Institution,FY 16-17
Garhwa,24.03361176,83.61028055,KGBV CHINIA,,20,Educational Institution,FY 16-17
Garhwa,24.14916062,83.44952533,KGBV DHURKI,,20,Educational Institution,FY 16-17
Garhwa,24.15026808,83.82367161,KGBV GARHWA,,20,Educational Institution,FY 16-17
Garhwa,24.48343177,83.76801085,KGBV KANDI,,20,Educational Institution,FY 16-17
Garhwa,24.44680585,83.46877117,KGBV KHAROUNDHI,,20,Educational Institution,FY 16-17
Garhwa,24.32301901,83.8123394,KGBV MANJHIAON,,20,Educational Institution,FY 16-17
Garhwa,24.18397164,83.70981633,KGBV MERAL,,20,Educational Institution,FY 16-17
Garhwa,23.86668515,83.87379296,KGBV RAMKANDA,,20,Educational Institution,FY 16-17
Garhwa,24.23726195,83.59106183,KGBV RAMNA,,20,Educational Institution,FY 16-17
Garhwa,23.99355176,83.78893281,KGBV RANKA,,20,Educational Institution,FY 16-17
Giridih,24.08664233,85.794695,"Range Forest Office, Bagodar",,2,Govt. Buildings,FY 16-17
Giridih,24.18952363,86.30626599,"Sadar Hospital, Giridih",,70,Hospital,FY 16-17
Giridih,24.04930719,86.16306033,"Range Forest Office, Parasnath Giridih",,2,Govt. Buildings,FY 16-17
Giridih,24.00029728,85.999392,"Range Forest Office, Dumari Giridih",,2,Govt. Buildings,FY 16-17
Godda,24.79933513,87.21147199,"Divisional Forest Office, Godda",,2,Govt. Buildings,FY 16-17
Gumla,24.94993553,87.1681495,"Primary Residential School, Maheshpur, Chainpur",,10,Educational Institution,FY 16-17
Gumla,22.87711937,84.64854328,"Range Forest Office, Palkot Wild Sanctury Gumla",,2,Govt. Buildings,FY 16-17
Hazaribag,24.00185206,85.36347137,"Residential 10+2 School, Hazaribag. ",,10,Educational Institution,FY 16-17
Hazaribag,24.00627527,85.37988356,"Primary Residential School, Saral Sinchai colony, Dipugarha",,10,Educational Institution,FY 16-17
Hazaribag,23.9863352,85.36912708,"Range Forest Office, Daru",,2,Govt. Buildings,FY 16-17
Hazaribag,24.23933999,85.50258813,K.G.B.V. BARHI,,20,Educational Institution,FY 16-17
Hazaribag,23.84245882,85.24711849,K.G.B.V. BARKAGAON,,20,Educational Institution,FY 16-17
Hazaribag,24.16855448,85.60560621,K.G.B.V. BARKATHA,,20,Educational Institution,FY 16-17
Hazaribag,24.0334425,85.73296734,"K.G.B.V., BISHNUGARH",,20,Educational Institution,FY 16-17
Hazaribag,23.84973808,85.44689409,K.G.B.V. CHARHI (CHURCHU),,20,Educational Institution,FY 16-17
Hazaribag,24.11244264,85.2034047,K.G.B.V. KATKAMSANDI,,20,Educational Institution,FY 16-17
Hazaribag,24.20669319,85.3572377,K.G.B.V. PADMA,,20,Educational Institution,FY 16-17
Jamtara,23.96938659,86.79072618,"Civil Courts, Jamtara",,100,Govt. Buildings,FY 16-17
Jamtara,23.97563776,87.15601317,"Range Forest Office, Kundhit Jamtara",,2,Govt. Buildings,FY 16-17
Jamtara,23.91649573,87.04301084,"Range Forest Office, Nala Jamtara",,2,Govt. Buildings,FY 16-17
Jamtara,24.07688759,86.60821174,"Range Forest Office, Narayanpur Jamtara",,2,Govt. Buildings,FY 16-17
Jamtara,23.95058919,86.76924033,KGBV Jamtara,,20,Educational Institution,FY 16-17
Jamtara,23.9963584,87.11060053,KGBV Kundhit,,20,Educational Institution,FY 16-17
Jamtara,23.93065562,87.01337505,KGBV Nala,,20,Educational Institution,FY 16-17
Jamtara,24.06052632,86.62069588,KGBV Narayanpur,,20,Educational Institution,FY 16-17
Jamtara,23.97118439,87.16310389,"Residential Middle School, Kundhit.",,10,Educational Institution,FY 16-17
Khunti,23.00188288,85.53664165,"Residential High School, Arki",,10,Educational Institution,FY 16-17
Kodarma,24.47846058,85.59599002,"Civil Courts, Kodarma",,100,Govt. Buildings,FY 16-17
Latehar,23.88725609,84.19403551,"Primary Residential School, Betla",,10,Educational Institution,FY 16-17
Latehar,23.75578073,84.35415737,"Primary Residential School, Netarhat",,10,Educational Institution,FY 16-17
Latehar,23.74330142,84.51009424,"Civil Courts, Latehar",,100,Govt. Buildings,FY 16-17
Latehar,23.86884925,84.36027794,"Range Forest Office, Manika Latehar",,2,Govt. Buildings,FY 16-17
Latehar,23.73148933,84.47180178,"Range Forest Office, Richughuta Latehar",,2,Govt. Buildings,FY 16-17
Latehar,23.67112036,84.73422929,"Range Forest Office, Chandwa Latehar",,2,Govt. Buildings,FY 16-17
Latehar,23.82823057,84.79019025,"Range Forest Office, Balumath Latehar",,2,Govt. Buildings,FY 16-17
Latehar,23.66524986,84.23542541,"Residential Primary School, Garu.",,10,Educational Institution,FY 16-17
Lohardaga,23.44312031,84.68544978,KGBV LOHARDAGA,,20,Educational Institution,FY 16-17
Lohardaga,23.44189789,84.68527187,"Sadar Hospital, Lohardaga",,30,Hospital,FY 16-17
Lohardaga,23.65198779,84.56146881,"Residential Middle School, Paisrar.",,10,Educational Institution,FY 16-17
Lohardaga,23.41859646,84.69237809,"Residential Girls Middle School, Lohardaga.",,10,Educational Institution,FY 16-17
Pakur,24.63126828,87.82472304,"Range Forest Office, Pakur",,2,Govt. Buildings,FY 16-17
Pakur,24.6303318,87.82017658,"Range Forest Office, Hiranpur Pakur",,2,Govt. Buildings,FY 16-17
Pakur,24.6297188,87.82050919,"Range Forest Office, Amarapara Pakur",,2,Govt. Buildings,FY 16-17
Pakur,24.58461683,87.53259155,KGBV AMRAPARA,,20,Educational Institution,FY 16-17
Pakur,24.69007238,87.61811237,KGBV LITTIPARA,,20,Educational Institution,FY 16-17
Pakur,24.48651041,87.66429695,KGBV MAHESHPUR,,20,Educational Institution,FY 16-17
Pakur,24.63625553,87.84994123,KGBV PAKUR,,20,Educational Institution,FY 16-17
Pakur,24.32652093,87.7073178,KGBV PAKURIA,,20,Educational Institution,FY 16-17
Palamu,23.40011065,84.10523205,"Range Forest Office, Mahuatand, Palamu",,2,Govt. Buildings,FY 16-17
Palamu,24.22046124,84.39963902,"Range Forest Office, Manatu",,2,Govt. Buildings,FY 16-17
Ramgarh,23.63219774,85.53555885,"KGBV KAITHA, Ramgarh",,20,Educational Institution,FY 16-17
Ramgarh,23.63229739,85.53572372,"KGBV GOLA, Ramgarh",,20,Educational Institution,FY 16-17
Ramgarh,23.81118628,85.46634583,"KGBV MANDU, Ramgarh",,20,Educational Institution,FY 16-17
Ramgarh,23.62142741,85.47169267,"KGBV Patratu(BARKAKANA), Ramgarh",,20,Educational Institution,FY 16-17
Ramgarh,23.6328552,85.51353824,"Range Forest Office, Gola Ramgarh",,2,Govt. Buildings,FY 16-17
Ramgarh,23.80958043,85.47061521,"Residential Boys High School, Mandu, Ramgarh",,10,Educational Institution,FY 16-17
Ramgarh,23.53697963,85.71524992,"Residential Girls Middle School, Gola, Ramgarh",,10,Educational Institution,FY 16-17
Ramgarh,23.61074525,85.56883841,"Civil Courts, Ramgarh",,100,Govt. Buildings,FY 16-17
Ranchi,23.17576385,85.57964684,"Residential High School, Bundu",,10,Educational Institution,FY 16-17
Ranchi,23.43397037,85.32114523,KGBV KANKE,,20,Educational Institution,FY 16-17
Ranchi,23.37251965,85.79895311,"KGBV SILLI, Ranchi",,20,Educational Institution,FY 16-17
Ranchi,23.08296512,85.64071234,"Eklavya Model Residential School, Salgahdih, Tamar, Ranchi",,10,Educational Institution,FY 16-17
Ranchi,23.37446627,85.33096075,"Residential 10+2 School, Jail Road, Ranchi",,10,Educational Institution,FY 16-17
Ranchi,23.47223817,85.06414832,KGBV MANDAR,,20,Educational Institution,FY 16-17
Ranchi,23.24072155,85.5642675,"Residential Boys Middle School, Amanburu, Ranchi",,10,Educational Institution,FY 16-17
Ranchi,23.51961787,85.55457846,"Range Forest Office, Mutta Crocodile Breeding Centre Ranchi",,2,Govt. Buildings,FY 16-17
Ranchi,23.42225195,85.23748038,KGBV CHANHO,,20,Educational Institution,FY 16-17
Ranchi,23.57352987,85.13180384,KGBV BURMU,,20,Educational Institution,FY 16-17
Ranchi,23.19358778,85.70698092,KGBV SONAHATU,,20,Educational Institution,FY 16-17
Ranchi,23.09716501,84.95868822,KGBV LAPUNG,,20,Educational Institution,FY 16-17
Ranchi,23.30420381,85.01743586,"Residential Boys High School, Sonchipi, Ranchi",,10,Educational Institution,FY 16-17
Ranchi,23.29279858,84.9996834,"Residential Boys High School, Baridih, Ranchi",,10,Educational Institution,FY 16-17
Ranchi,23.40522707,85.48523875,KGBV ANGARA,,20,Educational Institution,FY 16-17
Ranchi,23.30517747,85.01800516,KGBV BERO,,20,Educational Institution,FY 16-17
Ranchi,23.1552366,85.58185861,KGBV BUNDU,,20,Educational Institution,FY 16-17
Ranchi,23.08329198,85.64427593,KGBV TAMAR,,20,Educational Institution,FY 16-17
Ranchi,23.25219139,85.45486464,KGBV NAMKUM,,20,Educational Institution,FY 16-17
Ranchi,23.48024596,85.47549971,KGBV ORMANJHI,,20,Educational Institution,FY 16-17
Ranchi,23.16049249,85.63088954,"Birsa Munda Residential Boys High School, Bundu.",,10,Educational Institution,FY 16-17
Sahibganj,25.22424504,87.62274686,"Primary Residential School, Karampahad, Sahibganj",,10,Educational Institution,FY 16-17
SaraikelaKharsawan,22.71043072,85.943353,"Range Forest Offices, Saraikela",,2,Govt. Buildings,FY 16-17
SaraikelaKharsawan,22.70359766,85.92895657,"Range Forest Offices, Saraikela",,2,Govt. Buildings,FY 16-17
SaraikelaKharsawan,22.70287357,85.92832768,"Sadar Hospital, Saraikela",,30,Hospital,FY 16-17
purbaSinghbhum,22.529165,85.81101648,"Residential Girls High School, Chaibasa.",,10,Educational Institution,FY 16-17
purbaSinghbhum,22.23689645,85.30620979,"Residential Middle School, Chhotanagara",,10,Educational Institution,FY 16-17
purbaSinghbhum,22.50324254,85.37738046,"Residential Primary School, Goyalkera",,10,Educational Institution,FY 16-17
purbaSinghbhum,22.635987,86.22022814,KGBV POTKA,,20,Educational Institution,FY 16-17
purbaSinghbhum,22.95997111,86.41115201,KGBV PATAMDA,,20,Educational Institution,FY 16-17
purbaSinghbhum,22.8615346,85.34049831,KGBV BANDGAON,,20,Educational Institution,FY 16-17
purbaSinghbhum,22.43078232,85.77178548,KGBV JHINKPANI,,20,Educational Institution,FY 16-17
purbaSinghbhum,22.70583538,85.81376908,KGBV KHUNTPANI,,20,Educational Institution,FY 16-17
purbaSinghbhum,22.09034254,85.87599065,KGBV MAJHGAON,,20,Educational Institution,FY 16-17
purbaSinghbhum,22.33356319,85.96258207,KGBV MANJHARI,,20,Educational Institution,FY 16-17
purbaSinghbhum,22.15810685,85.50937715,KGBV NOAMUNDI,,20,Educational Institution,FY 16-17
purbaSinghbhum,22.55948319,85.81633594,KGBV SADAR CHAIBASA,,20,Hospital,FY 16-17
purbaSinghbhum,22.27814653,86.71018384,K G B V BAHRAGORA,,20,Educational Institution,FY 16-17
purbaSinghbhum,22.62340087,86.22206919,"Residential Boys Middle School, Bhabernagar, Potka.",,10,Educational Institution,FY 16-17
purbaSinghbhum,22.36527013,86.58475352,"Residential Boys Middle School, Singhpura, Lalkota.",,10,Educational Institution,FY 16-17
purbaSinghbhum,22.55003356,85.79839357,"Range Forest Office, Chaibasa",,2,Govt. Buildings,FY 16-17
